datetime (UTC),"coordinates (lat,lon)",temperature (degC),relative_humidity (0-1),wind_speed (m/s),total_precipitation (mm of water equivalent),surface_pressure (Pa),snowfall (mm of water equivalent),snow_depth (mm of water equivalent),absolute_humidity (g/m^3),rainfall (mm)
4/5/2024 7:00,"(42.089797, -76.807734)",0.13,0.86,3.49,0.05,95379.43,0.04,0,4.20737472,0.01
4/5/2024 8:00,"(42.089797, -76.807734)",0.2,0.84,4.41,0.15,95416.51,0.14,0,4.129396472,0.01
4/5/2024 9:00,"(42.089797, -76.807734)",0.72,0.78,5.05,0.15,95442.71,0.15,0,3.97395283,0
4/5/2024 10:00,"(42.089797, -76.807734)",1.42,0.75,5.4,0.18,95458,0.14,0,4.008440694,0.04
4/5/2024 11:00,"(42.089797, -76.807734)",2.3,0.72,5.27,0.18,95475.04,0.07,0,4.085116781,0.11
4/5/2024 12:00,"(42.089797, -76.807734)",2.64,0.68,5.28,0.22,95506.18,0.07,0,3.947832407,0.15
4/5/2024 13:00,"(42.089797, -76.807734)",3.08,0.67,5.59,0.16,95550.74,0.07,0,4.006774154,0.09
4/5/2024 14:00,"(42.089797, -76.807734)",3.17,0.69,5.68,0.18,95558.87,0.07,0,4.151412227,0.11
4/5/2024 15:00,"(42.089797, -76.807734)",3.1,0.7,5.64,0.21,95593.18,0.08,0,4.191813821,0.13
4/5/2024 16:00,"(42.089797, -76.807734)",3.19,0.69,5.52,0.29,95608.09,0.09,0,4.156993103,0.2
4/5/2024 17:00,"(42.089797, -76.807734)",2.78,0.74,5.54,0.15,95673.03,0.02,0,4.336923428,0.13
4/5/2024 18:00,"(42.089797, -76.807734)",2.12,0.8,4.29,0.3,95747.39,0.03,0,4.484025181,0.27
4/5/2024 19:00,"(42.089797, -76.807734)",1.95,0.84,4.29,0.09,95817.33,0.02,0,4.654254877,0.07
4/5/2024 20:00,"(42.089797, -76.807734)",1.68,0.89,4.08,0.05,95894.86,0.02,0,4.841651989,0.03
4/5/2024 21:00,"(42.089797, -76.807734)",1.59,0.89,3.91,0.02,95904.52,0.02,0,4.812090341,0
4/5/2024 22:00,"(42.089797, -76.807734)",1.88,0.87,4.05,0.02,95913.83,0.02,0,4.79762465,0
4/5/2024 23:00,"(42.089797, -76.807734)",1.9,0.86,4.2,0.02,95950.01,0.02,0,4.748924496,0
4/6/2024 0:00,"(42.089797, -76.807734)",2.07,0.84,4.26,0.06,95928.15,0.06,0,4.692295833,0
4/6/2024 1:00,"(42.089797, -76.807734)",2.29,0.86,4.33,0.1,95944.15,0.1,0,4.876144132,0
4/6/2024 2:00,"(42.089797, -76.807734)",2.49,0.87,4.41,0.11,95956.2,0.09,0,5.000006658,0.02
4/6/2024 3:00,"(42.089797, -76.807734)",2.77,0.88,4.35,0.09,95933.37,0.03,0,5.153947523,0.06
4/6/2024 4:00,"(42.089797, -76.807734)",2.74,0.9,4.4,0.05,95975.81,0.01,0,5.260433547,0.04
4/6/2024 5:00,"(42.089797, -76.807734)",2.78,0.9,4.46,0.11,95989.76,0.01,0,5.274636602,0.1
4/6/2024 6:00,"(42.089797, -76.807734)",2.8,0.88,4.43,0.12,96069.72,0.01,0,5.164378473,0.11
4/6/2024 7:00,"(42.089797, -76.807734)",2.69,0.88,4.8,0.12,96151.09,0.02,0,5.126221781,0.1
4/6/2024 8:00,"(42.089797, -76.807734)",2.79,0.88,4.55,0.09,96200.15,0.01,0,5.160899438,0.08
4/6/2024 9:00,"(42.089797, -76.807734)",2.77,0.88,5.53,0.2,96250.06,0.04,0,5.153947523,0.16
4/6/2024 10:00,"(42.089797, -76.807734)",3.82,0.81,5.59,0.27,96297.13,0.02,0,5.090304615,0.25
4/6/2024 11:00,"(42.089797, -76.807734)",4.94,0.72,6.33,0.18,96310.09,0,0,4.874587491,0.18
4/6/2024 12:00,"(42.089797, -76.807734)",5.81,0.67,6.79,0.13,96291.38,0,0,4.803954501,0.13
4/6/2024 13:00,"(42.089797, -76.807734)",6.74,0.61,7,0.2,96278.32,0,0,4.648282815,0.2
4/6/2024 14:00,"(42.089797, -76.807734)",7.76,0.57,7.05,0.15,96235.63,0,0,4.640889863,0.15
4/6/2024 15:00,"(42.089797, -76.807734)",8.05,0.54,6.9,0.03,96242.31,0,0,4.479750771,0.03
4/6/2024 16:00,"(42.089797, -76.807734)",8.82,0.48,6.63,0.01,96253.78,0,0,4.184112825,0.01
4/6/2024 17:00,"(42.089797, -76.807734)",8.74,0.48,6.27,0,96286.52,0,0,4.162706203,0
4/6/2024 18:00,"(42.089797, -76.807734)",8.59,0.45,5.23,0,96367.13,0,0,3.865149297,0
4/6/2024 19:00,"(42.089797, -76.807734)",8.13,0.47,4.54,0,96398.07,0,0,3.91920787,0
4/6/2024 20:00,"(42.089797, -76.807734)",7.58,0.5,3.66,0,96501.4,0,0,4.023815852,0
4/6/2024 21:00,"(42.089797, -76.807734)",7.14,0.54,3,0,96564.09,0,0,4.223430189,0
4/6/2024 22:00,"(42.089797, -76.807734)",6.44,0.59,2.71,0,96582.31,0,0,4.408678503,0
4/6/2024 23:00,"(42.089797, -76.807734)",6.18,0.61,2.44,0,96617.13,0,0,4.481227374,0
4/7/2024 0:00,"(42.089797, -76.807734)",5.97,0.62,2.21,0,96647.1,0,0,4.492405123,0
4/7/2024 1:00,"(42.089797, -76.807734)",5.38,0.63,2.12,0,96609.3,0,0,4.391076985,0
4/7/2024 2:00,"(42.089797, -76.807734)",4.81,0.66,2.04,0,96653.42,0,0,4.430066925,0
4/7/2024 3:00,"(42.089797, -76.807734)",4.21,0.68,2.12,0,96634.14,0,0,4.38596922,0
4/7/2024 4:00,"(42.089797, -76.807734)",3.54,0.71,2.23,0,96645.59,0,0,4.379081417,0
4/7/2024 5:00,"(42.089797, -76.807734)",3.19,0.74,2.48,0,96655.62,0,0,4.458224488,0
4/7/2024 6:00,"(42.089797, -76.807734)",3.04,0.74,3.15,0,96715.09,0,0,4.41350597,0
4/7/2024 7:00,"(42.089797, -76.807734)",2.84,0.75,3.29,0,96797.69,0,0,4.413336779,0
4/7/2024 8:00,"(42.089797, -76.807734)",3.7,0.73,3.13,0,96862.47,0,0,4.550906492,0
4/7/2024 9:00,"(42.089797, -76.807734)",5.43,0.66,3.26,0,96914.73,0,0,4.615366412,0
4/7/2024 10:00,"(42.089797, -76.807734)",8.56,0.51,4.17,0,96952.96,0,0,4.372070564,0
4/7/2024 11:00,"(42.089797, -76.807734)",9.68,0.43,4.6,0,96960.78,0,0,3.959908143,0
4/7/2024 12:00,"(42.089797, -76.807734)",10.35,0.38,4.53,0,96983.67,0,0,3.651472279,0
4/7/2024 13:00,"(42.089797, -76.807734)",11.55,0.33,4.51,0,96976.81,0,0,3.419970192,0
4/7/2024 14:00,"(42.089797, -76.807734)",12.01,0.3,4.42,0,96933.38,0,0,3.199830236,0
4/7/2024 15:00,"(42.089797, -76.807734)",12.74,0.28,4.44,0,96932.78,0,0,3.125361756,0
4/7/2024 16:00,"(42.089797, -76.807734)",13.06,0.25,4.35,0,96909.25,0,0,2.846406745,0
4/7/2024 17:00,"(42.089797, -76.807734)",12.87,0.26,4.13,0,96905.41,0,0,2.925620807,0
4/7/2024 18:00,"(42.089797, -76.807734)",11.42,0.27,3.37,0,96938.91,0,0,2.775439551,0
4/7/2024 19:00,"(42.089797, -76.807734)",10.8,0.25,2.87,0,96947.56,0,0,2.471560486,0
4/7/2024 20:00,"(42.089797, -76.807734)",8.81,0.35,2.75,0,96993.56,0,0,3.04896066,0
4/7/2024 21:00,"(42.089797, -76.807734)",6.98,0.46,2.25,0,97029.94,0,0,3.560494753,0
4/7/2024 22:00,"(42.089797, -76.807734)",4.74,0.56,1.81,0,97071.09,0,0,3.741445121,0
4/7/2024 23:00,"(42.089797, -76.807734)",4.18,0.59,2.05,0,97108.71,0,0,3.797877175,0
4/8/2024 0:00,"(42.089797, -76.807734)",4.39,0.58,1.8,0,97120.9,0,0,3.786052869,0
4/8/2024 1:00,"(42.089797, -76.807734)",3.71,0.61,0.53,0,97126.06,0,0,3.805356322,0
4/8/2024 2:00,"(42.089797, -76.807734)",2.56,0.67,0.42,0,97095.49,0,0,3.86882815,0
4/8/2024 3:00,"(42.089797, -76.807734)",2.26,0.68,1.21,0,97068.82,0,0,3.847735029,0
4/8/2024 4:00,"(42.089797, -76.807734)",1.29,0.72,1.65,0,97042.01,0,0,3.814131769,0
4/8/2024 5:00,"(42.089797, -76.807734)",1.09,0.73,1.65,0,97045.32,0,0,3.814636765,0
4/8/2024 6:00,"(42.089797, -76.807734)",0.87,0.74,1.71,0,97056.1,0,0,3.809117129,0
4/8/2024 7:00,"(42.089797, -76.807734)",0.75,0.75,1.56,0,97087.21,0,0,3.82897668,0
4/8/2024 8:00,"(42.089797, -76.807734)",1.63,0.74,1.77,0,97151.59,0,0,4.01197175,0
4/8/2024 9:00,"(42.089797, -76.807734)",5.35,0.58,1.29,0,97132.05,0,0,4.034587704,0
4/8/2024 10:00,"(42.089797, -76.807734)",9.61,0.39,1.78,0,97078.35,0,0,3.575575256,0
4/8/2024 11:00,"(42.089797, -76.807734)",11.29,0.33,2.36,0,97053.14,0,0,3.364633844,0
4/8/2024 12:00,"(42.089797, -76.807734)",12.4,0.31,2.56,0.03,97004.73,0,0,3.387865802,0.03
4/8/2024 13:00,"(42.089797, -76.807734)",13.49,0.33,2.66,0.23,96972.82,0,0,3.858438615,0.23
4/8/2024 14:00,"(42.089797, -76.807734)",13.54,0.34,2.84,0.21,96901.14,0,0,3.987639569,0.21
4/8/2024 15:00,"(42.089797, -76.807734)",13.83,0.36,2.92,0.38,96861.67,0,0,4.29830111,0.38
4/8/2024 16:00,"(42.089797, -76.807734)",13.1,0.4,2.32,0.08,96834.56,0,0,4.565540512,0.08
4/8/2024 17:00,"(42.089797, -76.807734)",13.01,0.47,2.35,1.07,96810.71,0,0,5.334702971,1.07
4/8/2024 18:00,"(42.089797, -76.807734)",12.68,0.51,1.13,0.03,96781.67,0,0,5.671457501,0.03
4/8/2024 19:00,"(42.089797, -76.807734)",12.43,0.52,1.27,0.27,96802.71,0,0,5.693491477,0.27
4/8/2024 20:00,"(42.089797, -76.807734)",12,0.58,1.82,0.21,96783.33,0,0,6.1824768,0.21
4/8/2024 21:00,"(42.089797, -76.807734)",10.7,0.63,2.26,0,96796.93,0,0,6.189163868,0
4/8/2024 22:00,"(42.089797, -76.807734)",8.92,0.68,2.27,0,96813.4,0,0,5.965591763,0
4/8/2024 23:00,"(42.089797, -76.807734)",7.8,0.73,2.09,0,96757.71,0,0,5.958985295,0
4/9/2024 0:00,"(42.089797, -76.807734)",6.22,0.79,2.31,0,96778.39,0,0,5.818781997,0
4/9/2024 1:00,"(42.089797, -76.807734)",4.94,0.81,2.38,0,96776.48,0,0,5.483910928,0
4/9/2024 2:00,"(42.089797, -76.807734)",4.44,0.8,2.43,0,96776.25,0,0,5.23952943,0
4/9/2024 3:00,"(42.089797, -76.807734)",3.89,0.82,2.02,0,96695.49,0,0,5.177297847,0
4/9/2024 4:00,"(42.089797, -76.807734)",2.93,0.85,1.98,0,96705.96,0,0,5.032186544,0
4/9/2024 5:00,"(42.089797, -76.807734)",2.57,0.86,1.89,0,96673.87,0,0,4.969312615,0
4/9/2024 6:00,"(42.089797, -76.807734)",2.16,0.91,1.33,0,96716,0,0,5.114422099,0
4/9/2024 7:00,"(42.089797, -76.807734)",1.81,0.92,1.12,0,96746.55,0,0,5.049283601,0
4/9/2024 8:00,"(42.089797, -76.807734)",3.9,0.88,1.25,0,96810.55,0,0,5.559835612,0
4/9/2024 9:00,"(42.089797, -76.807734)",7.67,0.76,0.83,0,96781.85,0,0,6.151935638,0
4/9/2024 10:00,"(42.089797, -76.807734)",12.87,0.59,0.76,0,96767.95,0,0,6.638908754,0
4/9/2024 11:00,"(42.089797, -76.807734)",16.19,0.44,0.94,0,96749.46,0,0,6.065997558,0
4/9/2024 12:00,"(42.089797, -76.807734)",18.66,0.33,1.43,0,96724.98,0,0,5.273131272,0
4/9/2024 13:00,"(42.089797, -76.807734)",21.59,0.24,1.98,0,96683.59,0,0,4.551803262,0
4/9/2024 14:00,"(42.089797, -76.807734)",22.66,0.2,2.27,0,96627.09,0,0,4.034121169,0
4/9/2024 15:00,"(42.089797, -76.807734)",23.28,0.18,2.67,0,96555.48,0,0,3.761716664,0
4/9/2024 16:00,"(42.089797, -76.807734)",24.01,0.16,2.97,0,96469.78,0,0,3.48548352,0
4/9/2024 17:00,"(42.089797, -76.807734)",23.94,0.15,3.14,0,96418.75,0,0,3.25469246,0
4/9/2024 18:00,"(42.089797, -76.807734)",22.51,0.2,3.14,0,96336.07,0,0,3.999567808,0
4/9/2024 19:00,"(42.089797, -76.807734)",21.26,0.24,3.42,0,96325.47,0,0,4.465689791,0
4/9/2024 20:00,"(42.089797, -76.807734)",19.78,0.27,3.47,0,96355.67,0,0,4.608614331,0
4/9/2024 21:00,"(42.089797, -76.807734)",18.47,0.33,3.67,0,96379.19,0,0,5.214137122,0
4/9/2024 22:00,"(42.089797, -76.807734)",17.1,0.38,3.75,0,96382.85,0,0,5.533489644,0
4/9/2024 23:00,"(42.089797, -76.807734)",16.35,0.43,3.77,0,96363.23,0,0,5.985621892,0
4/10/2024 0:00,"(42.089797, -76.807734)",15.97,0.48,3.6,0,96351.04,0,0,6.530086806,0
4/10/2024 1:00,"(42.089797, -76.807734)",15.43,0.54,3.53,0,96360.67,0,0,7.10985403,0
4/10/2024 2:00,"(42.089797, -76.807734)",14.86,0.59,2.77,0,96380.61,0,0,7.503280472,0
4/10/2024 3:00,"(42.089797, -76.807734)",14.08,0.65,2.06,0,96364.07,0,0,7.880983422,0
4/10/2024 4:00,"(42.089797, -76.807734)",13.34,0.7,1.75,0,96370.8,0,0,8.109133558,0
4/10/2024 5:00,"(42.089797, -76.807734)",12.98,0.73,1.83,0,96368.72,0,0,8.270432921,0
4/10/2024 6:00,"(42.089797, -76.807734)",12.82,0.72,1.65,0.12,96378.46,0,0,8.076636487,0.12
4/10/2024 7:00,"(42.089797, -76.807734)",12.61,0.76,1.89,0.2,96415.38,0,0,8.414914659,0.2
4/10/2024 8:00,"(42.089797, -76.807734)",13.21,0.77,2.37,0.13,96477.98,0,0,8.848671867,0.13
4/10/2024 9:00,"(42.089797, -76.807734)",13.68,0.79,2.09,0.57,96475.65,0,0,9.345688122,0.57
4/10/2024 10:00,"(42.089797, -76.807734)",13.66,0.86,1.71,1.96,96493.23,0,0,10.16126058,1.96
4/10/2024 11:00,"(42.089797, -76.807734)",13.81,0.89,1.26,1.47,96500.53,0,0,10.61328774,1.47
4/10/2024 12:00,"(42.089797, -76.807734)",13.69,0.92,1.53,0.8,96531.21,0,0,10.89029176,0.8
4/10/2024 13:00,"(42.089797, -76.807734)",13.97,0.95,1.72,0.66,96521.61,0,0,11.44079842,0.66
4/10/2024 14:00,"(42.089797, -76.807734)",14.25,0.96,1.4,0.57,96517.22,0,0,11.7616435,0.57
4/10/2024 15:00,"(42.089797, -76.807734)",14.18,0.95,1.54,0.32,96476.68,0,0,11.58926681,0.32
4/10/2024 16:00,"(42.089797, -76.807734)",14.4,0.95,1.47,0.75,96437.63,0,0,11.74659543,0.75
4/10/2024 17:00,"(42.089797, -76.807734)",15.01,0.91,1.63,0.96,96399.27,0,0,11.67918405,0.96
4/10/2024 18:00,"(42.089797, -76.807734)",15.34,0.87,1.69,0.6,96472.98,0,0,11.39230689,0.6
4/10/2024 19:00,"(42.089797, -76.807734)",15.02,0.86,1.32,0.36,96493.85,0,0,11.04419805,0.36
4/10/2024 20:00,"(42.089797, -76.807734)",14.86,0.86,1.19,0.05,96461.29,0,0,10.93698509,0.05
4/10/2024 21:00,"(42.089797, -76.807734)",14.27,0.89,1.42,0,96527.93,0,0,10.91740152,0
4/10/2024 22:00,"(42.089797, -76.807734)",13.34,0.91,1.56,0,96531.54,0,0,10.54187363,0
4/10/2024 23:00,"(42.089797, -76.807734)",12.91,0.92,1.66,0,96514.03,0,0,10.37789898,0
4/11/2024 0:00,"(42.089797, -76.807734)",13.08,0.92,1.45,0.03,96510.09,0,0,10.48775302,0.03
4/11/2024 1:00,"(42.089797, -76.807734)",12.95,0.93,1.53,0.08,96439.32,0,0,10.51673989,0.08
4/11/2024 2:00,"(42.089797, -76.807734)",12.91,0.92,1.87,0.29,96395.89,0,0,10.37789898,0.29
4/11/2024 3:00,"(42.089797, -76.807734)",13.04,0.9,2.59,0.83,96320.81,0,0,10.23438381,0.83
4/11/2024 4:00,"(42.089797, -76.807734)",12.89,0.91,2.91,0.83,96184.86,0,0,10.25237743,0.83
4/11/2024 5:00,"(42.089797, -76.807734)",12.78,0.92,3.25,1.64,96136.67,0,0,10.29456865,1.64
4/11/2024 6:00,"(42.089797, -76.807734)",12.58,0.92,3.45,2.36,96094.21,0,0,10.16750312,2.36
4/11/2024 7:00,"(42.089797, -76.807734)",12.64,0.92,3.91,1.31,96069.02,0,0,10.20547891,1.31
4/11/2024 8:00,"(42.089797, -76.807734)",12.87,0.93,4.04,0.41,96041.78,0,0,10.46472058,0.41
4/11/2024 9:00,"(42.089797, -76.807734)",13.1,0.93,4.49,0.54,96015.62,0,0,10.61488169,0.54
4/11/2024 10:00,"(42.089797, -76.807734)",13.89,0.87,5.85,0.07,95965.75,0,0,10.42596534,0.07
4/11/2024 11:00,"(42.089797, -76.807734)",14.29,0.89,5.86,0.18,95915.16,0,0,10.93079361,0.18
4/11/2024 12:00,"(42.089797, -76.807734)",14.44,0.9,5.75,0.09,95838.13,0,0,11.15564099,0.09
4/11/2024 13:00,"(42.089797, -76.807734)",15.61,0.84,6.02,0.04,95720.69,0,0,11.18124164,0.04
4/11/2024 14:00,"(42.089797, -76.807734)",17.35,0.74,6.95,0.17,95615.74,0,0,10.93820088,0.17
4/11/2024 15:00,"(42.089797, -76.807734)",18.01,0.7,7.27,0.47,95613.24,0,0,10.7623246,0.47
4/11/2024 16:00,"(42.089797, -76.807734)",18.74,0.65,7.01,0.15,95477.25,0,0,10.43573628,0.15
4/11/2024 17:00,"(42.089797, -76.807734)",18.58,0.66,6.57,0.69,95400.03,0,0,10.49644333,0.69
4/11/2024 18:00,"(42.089797, -76.807734)",16.58,0.82,5.93,0.96,95251.97,0,0,11.57364504,0.96
4/11/2024 19:00,"(42.089797, -76.807734)",16.5,0.82,6.14,1.06,95182.68,0,0,11.51805325,1.06
4/11/2024 20:00,"(42.089797, -76.807734)",16.02,0.86,6.05,0.28,95104.75,0,0,11.73515553,0.28
4/11/2024 21:00,"(42.089797, -76.807734)",16.23,0.87,6.23,0.11,95010.65,0,0,12.02311862,0.11
4/11/2024 22:00,"(42.089797, -76.807734)",15.95,0.92,6.48,1.6,94895.88,0,0,12.50087244,1.6
4/11/2024 23:00,"(42.089797, -76.807734)",16.15,0.91,6.98,1.78,94789.62,0,0,12.51532938,1.78
4/12/2024 0:00,"(42.089797, -76.807734)",16.31,0.9,7.08,0.72,94656.28,0,0,12.49787058,0.72
4/12/2024 1:00,"(42.089797, -76.807734)",16.26,0.91,7.15,1.13,94519.13,0,0,12.59868718,1.13
4/12/2024 2:00,"(42.089797, -76.807734)",16,0.91,7.06,0.34,94354.03,0,0,12.40242992,0.34
4/12/2024 3:00,"(42.089797, -76.807734)",15.81,0.92,7.16,0.49,94189.73,0,0,12.3954244,0.49
4/12/2024 4:00,"(42.089797, -76.807734)",15.62,0.93,7.27,0.17,94048.4,0,0,12.38674049,0.17
4/12/2024 5:00,"(42.089797, -76.807734)",15.57,0.93,6.57,0.34,93937.83,0,0,12.34923654,0.34
4/12/2024 6:00,"(42.089797, -76.807734)",15.15,0.9,6.54,0.61,93817,0,0,11.64974489,0.61
4/12/2024 7:00,"(42.089797, -76.807734)",15.22,0.9,7.07,0.62,93789.99,0,0,11.6994714,0.62
4/12/2024 8:00,"(42.089797, -76.807734)",15.65,0.87,6.64,0.72,93900.15,0,0,11.60869085,0.72
4/12/2024 9:00,"(42.089797, -76.807734)",15.19,0.83,6.88,2.34,94037.51,0,0,10.76983797,2.34
4/12/2024 10:00,"(42.089797, -76.807734)",12.36,0.84,5.84,1.91,94162.18,0,0,9.157193285,1.91
4/12/2024 11:00,"(42.089797, -76.807734)",11.09,0.81,6.45,0.97,94199.7,0,0,8.155470047,0.97
4/12/2024 12:00,"(42.089797, -76.807734)",11.55,0.74,5.87,0.25,94201.09,0,0,7.669024068,0.25
4/12/2024 13:00,"(42.089797, -76.807734)",12.55,0.6,6.03,0.02,94209.93,0,0,6.618626938,0.02
4/12/2024 14:00,"(42.089797, -76.807734)",12.68,0.56,5.87,0,94208.19,0,0,6.227482747,0
4/12/2024 15:00,"(42.089797, -76.807734)",12.62,0.56,6.7,0,94224.66,0,0,6.204317088,0
4/12/2024 16:00,"(42.089797, -76.807734)",12.03,0.59,6.77,0,94235.87,0,0,6.300862335,0
4/12/2024 17:00,"(42.089797, -76.807734)",11.4,0.63,5.96,0,94259.7,0,0,6.467903792,0
4/12/2024 18:00,"(42.089797, -76.807734)",10.86,0.65,5.97,0,94313.71,0,0,6.450411117,0
4/12/2024 19:00,"(42.089797, -76.807734)",10.18,0.68,5.5,0.02,94332.66,0,0,6.464234352,0.02
4/12/2024 20:00,"(42.089797, -76.807734)",9.6,0.7,5.26,0.03,94400.36,0,0,6.413613548,0.03
4/12/2024 21:00,"(42.089797, -76.807734)",9.16,0.71,5.38,0.03,94496.66,0,0,6.325160406,0.03
4/12/2024 22:00,"(42.089797, -76.807734)",8.67,0.72,5.5,0.08,94525.85,0,0,6.216080645,0.08
4/12/2024 23:00,"(42.089797, -76.807734)",7.96,0.72,5.39,0.2,94536.28,0,0,5.938413404,0.2
4/13/2024 0:00,"(42.089797, -76.807734)",6.93,0.74,5.86,0.36,94597.08,0,0,5.709141517,0.36
4/13/2024 1:00,"(42.089797, -76.807734)",5.14,0.85,5.89,0.68,94674.63,0,0,5.831344947,0.68
4/13/2024 2:00,"(42.089797, -76.807734)",4.13,0.91,5.81,0.86,94736.25,0,0,5.838261461,0.86
4/13/2024 3:00,"(42.089797, -76.807734)",4.17,0.89,5.74,0.72,94781.63,0,0,5.725186092,0.72
4/13/2024 4:00,"(42.089797, -76.807734)",3.69,0.88,5.75,0.57,94846.26,0,0,5.482356309,0.57
4/13/2024 5:00,"(42.089797, -76.807734)",3.63,0.89,5.79,0.51,94865.94,0,0,5.522443525,0.51
4/13/2024 6:00,"(42.089797, -76.807734)",3.53,0.87,6.14,0.44,94969.94,0,0,5.362324207,0.44
4/13/2024 7:00,"(42.089797, -76.807734)",3.53,0.85,6.01,0.39,95076.05,0,0,5.239052386,0.39
4/13/2024 8:00,"(42.089797, -76.807734)",3.49,0.86,5.88,0.4,95143.34,0,0,5.286504428,0.4
4/13/2024 9:00,"(42.089797, -76.807734)",3.65,0.88,6.01,0.46,95214.24,0.01,0,5.467705933,0.45
4/13/2024 10:00,"(42.089797, -76.807734)",3.96,0.89,6.31,0.47,95291.14,0,0,5.645581234,0.47
4/13/2024 11:00,"(42.089797, -76.807734)",3.92,0.89,6.88,0.47,95392.23,0,0,5.63052867,0.47
4/13/2024 12:00,"(42.089797, -76.807734)",4.1,0.86,7.14,0.45,95476.96,0,0,5.506457048,0.45
4/13/2024 13:00,"(42.089797, -76.807734)",4.89,0.8,7.6,0.32,95564.4,0,0,5.398309183,0.32
4/13/2024 14:00,"(42.089797, -76.807734)",5.79,0.71,7.77,0.12,95636.44,0,0,5.084071057,0.12
4/13/2024 15:00,"(42.089797, -76.807734)",6.47,0.64,8.02,0.14,95701.38,0,0,4.791681845,0.14
4/13/2024 16:00,"(42.089797, -76.807734)",6.86,0.62,7.57,0.02,95732.35,0,0,4.761578976,0.02
4/13/2024 17:00,"(42.089797, -76.807734)",7.11,0.61,8.26,0.01,95792.65,0,0,4.761617779,0.01
4/13/2024 18:00,"(42.089797, -76.807734)",7.58,0.58,7.05,0,95906.1,0,0,4.667626388,0
4/13/2024 19:00,"(42.089797, -76.807734)",7.98,0.57,6.07,0,95907.38,0,0,4.707316827,0
4/13/2024 20:00,"(42.089797, -76.807734)",7.97,0.58,5.76,0,95964.27,0,0,4.786810751,0
4/13/2024 21:00,"(42.089797, -76.807734)",7.33,0.61,5.57,0,96107.11,0,0,4.830142944,0
4/13/2024 22:00,"(42.089797, -76.807734)",6.6,0.63,5.14,0,96158.69,0,0,4.757034388,0
4/13/2024 23:00,"(42.089797, -76.807734)",6.24,0.64,4.74,0,96228.04,0,0,4.720127745,0
4/14/2024 0:00,"(42.089797, -76.807734)",6.11,0.64,4.31,0,96245.11,0,0,4.680098263,0
4/14/2024 1:00,"(42.089797, -76.807734)",5.43,0.67,3.46,0,96242.01,0,0,4.685296206,0
4/14/2024 2:00,"(42.089797, -76.807734)",4.91,0.7,2.87,0,96247.85,0,0,4.729779797,0
4/14/2024 3:00,"(42.089797, -76.807734)",4.57,0.73,2.74,0,96230.39,0,0,4.82253891,0
4/14/2024 4:00,"(42.089797, -76.807734)",3.88,0.76,2.46,0,96215.31,0,0,4.795268012,0
4/14/2024 5:00,"(42.089797, -76.807734)",3.92,0.76,2.32,0,96182.08,0,0,4.808091898,0
4/14/2024 6:00,"(42.089797, -76.807734)",3.89,0.78,2.49,0,96199.88,0,0,4.924746733,0
4/14/2024 7:00,"(42.089797, -76.807734)",4.67,0.75,2,0,96222.09,0,0,4.987655391,0
4/14/2024 8:00,"(42.089797, -76.807734)",6.06,0.68,2.28,0.03,96145.76,0,0,4.956330269,0.03
4/14/2024 9:00,"(42.089797, -76.807734)",7.94,0.59,2.5,0.02,96148.4,0,0,4.85992098,0.02
4/14/2024 10:00,"(42.089797, -76.807734)",10.49,0.51,2.77,0.01,96032.79,0,0,4.944253227,0.01
4/14/2024 11:00,"(42.089797, -76.807734)",12.39,0.49,3.83,0.09,95925.6,0,0,5.351681584,0.09
4/14/2024 12:00,"(42.089797, -76.807734)",13.63,0.5,4.98,0.04,95701.65,0,0,5.896799973,0.04
4/14/2024 13:00,"(42.089797, -76.807734)",16.47,0.45,5.6,0.09,95563.64,0,0,6.309475261,0.09
4/14/2024 14:00,"(42.089797, -76.807734)",17.34,0.52,5.59,1.26,95432.1,0,0,7.681708503,1.26
4/14/2024 15:00,"(42.089797, -76.807734)",20.19,0.39,4.35,0.57,95375.96,0,0,6.81861103,0.57
4/14/2024 16:00,"(42.089797, -76.807734)",21.76,0.35,3.37,1.15,95334.29,0,0,6.703551507,1.15
4/14/2024 17:00,"(42.089797, -76.807734)",20.21,0.45,1.98,1.82,95324.14,0,0,7.876830024,1.82
4/14/2024 18:00,"(42.089797, -76.807734)",16.01,0.79,1.96,2.51,95421.29,0,0,10.77345485,2.51
4/14/2024 19:00,"(42.089797, -76.807734)",15.33,0.8,1.89,0.59,95494.49,0,0,10.46931989,0.59
4/14/2024 20:00,"(42.089797, -76.807734)",13.86,0.81,2.16,0.07,95561.77,0,0,9.689041057,0.07
4/14/2024 21:00,"(42.089797, -76.807734)",12.96,0.85,1.26,0.56,95672.91,0,0,9.618031569,0.56
4/14/2024 22:00,"(42.089797, -76.807734)",11.84,0.86,1.02,0.88,95722.74,0,0,9.075927916,0.88
4/14/2024 23:00,"(42.089797, -76.807734)",11.16,0.89,0.52,0.44,95718.16,0,0,9.00048606,0.44
4/15/2024 0:00,"(42.089797, -76.807734)",10.84,0.9,0.88,0.06,95727.49,0,0,8.920085897,0.06
4/15/2024 1:00,"(42.089797, -76.807734)",10.36,0.92,1.45,0,95719.93,0,0,8.846003521,0
4/15/2024 2:00,"(42.089797, -76.807734)",9.85,0.93,1.68,0,95722.56,0,0,8.657551466,0
4/15/2024 3:00,"(42.089797, -76.807734)",9.76,0.92,2.26,0,95727.14,0,0,8.515593804,0
